"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 01:55:00","EST","GENESE",61753,1019.4
"12/13/2019 01:55:00","EST","HUD VL",61758,980.6
"12/13/2019 01:55:00","EST","LONGIL",61762,1951.5
"12/13/2019 01:55:00","EST","MHK VL",61756,863.9
"12/13/2019 01:55:00","EST","MILLWD",61759,323.9
"12/13/2019 01:55:00","EST","N.Y.C.",61761,4790.2
"12/13/2019 01:55:00","EST","NORTH",61755,603.5
"12/13/2019 01:55:00","EST","WEST",61752,1558.9
"12/13/2019 02:00:00","EST","CAPITL",61757,1221.1
"12/13/2019 02:00:00","EST","CENTRL",61754,1715.5
"12/13/2019 02:00:00","EST","DUNWOD",61760,549.8
"12/13/2019 02:00:00","EST","GENESE",61753,1013.2
"12/13/2019 02:00:00","EST","HUD VL",61758,982.3
"12/13/2019 02:00:00","EST","LONGIL",61762,1936.6
"12/13/2019 02:00:00","EST","MHK VL",61756,872.8
"12/13/2019 02:00:00","EST","MILLWD",61759,316.2
"12/13/2019 02:00:00","EST","N.Y.C.",61761,4792
"12/13/2019 02:00:00","EST","NORTH",61755,603.5
"12/13/2019 02:00:00","EST","WEST",61752,1544.4
"12/13/2019 02:05:00","EST","CAPITL",61757,1216.6
"12/13/2019 02:05:00","EST","CENTRL",61754,1656
"12/13/2019 02:05:00","EST","DUNWOD",61760,561.3
"12/13/2019 02:05:00","EST","GENESE",61753,1022.2
"12/13/2019 02:05:00","EST","HUD VL",61758,995.4
"12/13/2019 02:05:00","EST","LONGIL",61762,1935.2
"12/13/2019 02:05:00","EST","MHK VL",61756,877
"12/13/2019 02:05:00","EST","MILLWD",61759,311.8
"12/13/2019 02:05:00","EST","N.Y.C.",61761,4773.7
"12/13/2019 02:05:00","EST","NORTH",61755,597.5
"12/13/2019 02:05:00","EST","WEST",61752,1540.2
"12/13/2019 02:10:00","EST","CAPITL",61757,1219.6
"12/13/2019 02:10:00","EST","CENTRL",61754,1703.6
"12/13/2019 02:10:00","EST","DUNWOD",61760,550.3
"12/13/2019 02:10:00","EST","GENESE",61753,1020.5
"12/13/2019 02:10:00","EST","HUD VL",61758,990.3
"12/13/2019 02:10:00","EST","LONGIL",61762,1927.4
"12/13/2019 02:10:00","EST","MHK VL",61756,865.2
"12/13/2019 02:10:00","EST","MILLWD",61759,320.6
"12/13/2019 02:10:00","EST","N.Y.C.",61761,4768.1
"12/13/2019 02:10:00","EST","NORTH",61755,594.7
"12/13/2019 02:10:00","EST","WEST",61752,1545.1
"12/13/2019 02:15:00","EST","CAPITL",61757,1217.6
"12/13/2019 02:15:00","EST","CENTRL",61754,1694.3
"12/13/2019 02:15:00","EST","DUNWOD",61760,546.7
"12/13/2019 02:15:00","EST","GENESE",61753,1022.4
"12/13/2019 02:15:00","EST","HUD VL",61758,980
"12/13/2019 02:15:00","EST","LONGIL",61762,1923.9
"12/13/2019 02:15:00","EST","MHK VL",61756,872.2
"12/13/2019 02:15:00","EST","MILLWD",61759,317.9
"12/13/2019 02:15:00","EST","N.Y.C.",61761,4761.6
"12/13/2019 02:15:00","EST","NORTH",61755,594.5
"12/13/2019 02:15:00","EST","WEST",61752,1543.6
"12/13/2019 02:20:00","EST","CAPITL",61757,1205
"12/13/2019 02:20:00","EST","CENTRL",61754,1727.6
"12/13/2019 02:20:00","EST","DUNWOD",61760,547.2
"12/13/2019 02:20:00","EST","GENESE",61753,1021.5
"12/13/2019 02:20:00","EST","HUD VL",61758,975.7
"12/13/2019 02:20:00","EST","LONGIL",61762,1927.9
"12/13/2019 02:20:00","EST","MHK VL",61756,872.4
"12/13/2019 02:20:00","EST","MILLWD",61759,311.6
"12/13/2019 02:20:00","EST","N.Y.C.",61761,4730.1
"12/13/2019 02:20:00","EST","NORTH",61755,597.2
"12/13/2019 02:20:00","EST","WEST",61752,1516.9
"12/13/2019 02:25:00","EST","CAPITL",61757,1215.7
"12/13/2019 02:25:00","EST","CENTRL",61754,1717.9
"12/13/2019 02:25:00","EST","DUNWOD",61760,552
"12/13/2019 02:25:00","EST","GENESE",61753,1010.2
"12/13/2019 02:25:00","EST","HUD VL",61758,960.2
"12/13/2019 02:25:00","EST","LONGIL",61762,1916.9
"12/13/2019 02:25:00","EST","MHK VL",61756,865.6
"12/13/2019 02:25:00","EST","MILLWD",61759,318.9
"12/13/2019 02:25:00","EST","N.Y.C.",61761,4722.2
"12/13/2019 02:25:00","EST","NORTH",61755,607.2
"12/13/2019 02:25:00","EST","WEST",61752,1537.3
"12/13/2019 02:30:00","EST","CAPITL",61757,1212.8
"12/13/2019 02:30:00","EST","CENTRL",61754,1701.6
"12/13/2019 02:30:00","EST","DUNWOD",61760,552.2
"12/13/2019 02:30:00","EST","GENESE",61753,1009
"12/13/2019 02:30:00","EST","HUD VL",61758,989
"12/13/2019 02:30:00","EST","LONGIL",61762,1906
"12/13/2019 02:30:00","EST","MHK VL",61756,866.5
"12/13/2019 02:30:00","EST","MILLWD",61759,319.9
"12/13/2019 02:30:00","EST","N.Y.C.",61761,4720.8
"12/13/2019 02:30:00","EST","NORTH",61755,601.3
"12/13/2019 02:30:00","EST","WEST",61752,1546.3
"12/13/2019 02:35:00","EST","CAPITL",61757,1202.5
"12/13/2019 02:35:00","EST","CENTRL",61754,1643.8
"12/13/2019 02:35:00","EST","DUNWOD",61760,540.1
"12/13/2019 02:35:00","EST","GENESE",61753,1010.7
"12/13/2019 02:35:00","EST","HUD VL",61758,976.2
"12/13/2019 02:35:00","EST","LONGIL",61762,1904.2
"12/13/2019 02:35:00","EST","MHK VL",61756,866.6
"12/13/2019 02:35:00","EST","MILLWD",61759,329.4
"12/13/2019 02:35:00","EST","N.Y.C.",61761,4721.1
"12/13/2019 02:35:00","EST","NORTH",61755,605.7
"12/13/2019 02:35:00","EST","WEST",61752,1557.8
"12/13/2019 02:40:00","EST","CAPITL",61757,1210.9
"12/13/2019 02:40:00","EST","CENTRL",61754,1682.3
"12/13/2019 02:40:00","EST","DUNWOD",61760,549.5
"12/13/2019 02:40:00","EST","GENESE",61753,1006.1
"12/13/2019 02:40:00","EST","HUD VL",61758,971.3
"12/13/2019 02:40:00","EST","LONGIL",61762,1902.5
"12/13/2019 02:40:00","EST","MHK VL",61756,868
"12/13/2019 02:40:00","EST","MILLWD",61759,313.9
"12/13/2019 02:40:00","EST","N.Y.C.",61761,4708.1
"12/13/2019 02:40:00","EST","NORTH",61755,600.2
"12/13/2019 02:40:00","EST","WEST",61752,1523.3
"12/13/2019 02:45:00","EST","CAPITL",61757,1224
"12/13/2019 02:45:00","EST","CENTRL",61754,1689.6
"12/13/2019 02:45:00","EST","DUNWOD",61760,546.4
"12/13/2019 02:45:00","EST","GENESE",61753,1006.7
"12/13/2019 02:45:00","EST","HUD VL",61758,966.3
"12/13/2019 02:45:00","EST","LONGIL",61762,1890.4
"12/13/2019 02:45:00","EST","MHK VL",61756,858.2
"12/13/2019 02:45:00","EST","MILLWD",61759,311.8
"12/13/2019 02:45:00","EST","N.Y.C.",61761,4691.1
"12/13/2019 02:45:00","EST","NORTH",61755,597.9
